DATE,DM_EQ,EM_EQ,NB,CASH,EILB,PE,RE,GLOBAL_BONDS,GLOBAL_EQ
1988-01-31,0.060595,0.138948,0.030461,0.041902,-0.019624,0.063566,0.009432,0.023951,0.060526
1988-02-29,0.059936,0.005779,0.010349,0.007541,0.00852,0.061586,0.016281,0.012391,0.059077
1988-03-31,0.011945,0.088025,0.000425,-0.011665,0.018457,0.013887,-0.008354,0.000444,0.012327
1988-04-30,0.014384,0.053796,-0.004142,0.007438,-0.026912,0.015786,0.008156,-0.003575,0.014305
1988-05-31,-0.012773,0.038589,-0.001684,0.014295,-0.013884,-0.010834,0.010285,-0.003165,-0.011948
1988-06-30,0.029526,0.067148,0.007365,0.037705,-0.016374,0.031709,0.038727,0.006819,0.029686
1988-07-31,0.026134,-0.020387,0.001001,0.01404,-0.009389,0.027937,0.024358,-0.000352,0.026488
1988-08-31,-0.048241,-0.019521,-0.005051,0.013544,-0.020277,-0.047492,-0.0147,-0.00103,-0.049612
1988-09-30,0.029999,0.051053,0.013656,-0.004554,0.030349,0.032263,0.03281,0.016308,0.03111
1988-10-31,0.028433,-0.041799,0.008922,-0.028355,0.05464,0.030252,-0.009541,0.01952,0.028487
1988-11-30,0.013035,-0.023273,-0.004923,-0.012741,0.00609,0.015552,-0.028595,-0.007857,0.012684
1988-12-31,0.023349,0.040949,0.003681,0.022104,-0.012676,0.024494,0.001097,0.004772,0.024663
1989-01-31,0.065527,0.011969,0.012762,0.03501,-0.031835,0.06572,0.04231,0.005219,0.0641
1989-02-28,-0.022549,0.057562,-0.016728,-0.00922,-0.00516,-0.022501,-0.012557,-0.006961,-0.023724
1989-03-31,0.014754,0.12431,0.006285,0.029352,-0.003668,0.014927,0.021208,0.002226,0.014849
1989-04-30,0.009866,0.174909,0.001599,-0.003251,0.012185,0.013823,0.015737,0.005056,0.013637
1989-05-31,0.005958,0.045966,0.009584,0.039392,-0.028466,0.008137,0.008858,0.003754,0.006622
1989-06-30,-0.013318,-0.12139,0.017987,0.005933,0.011897,-0.011455,0.016887,0.013757,-0.014514
1989-07-31,0.080118,0.031746,0.015439,-0.021805,0.04416,0.082846,0.020693,0.021393,0.079683
1989-08-31,0.007698,0.05808,-0.001681,0.041183,-0.055894,0.010445,-0.03226,-0.002159,0.008347
1989-09-30,-0.003075,0.089362,-0.013319,-0.023984,0.010378,-0.001839,-0.00213,-0.008739,-0.002503
1989-10-31,-0.035138,0.013057,0.006333,0.00507,-4e-05,-0.033367,-0.020023,0.004355,-0.034435
1989-11-30,0.031093,-0.053826,-0.000462,-0.00216,-0.002073,0.032042,0.01827,0.002195,0.029894
1989-12-31,0.014701,0.105447,-0.004531,-0.009656,0.023653,0.017215,0.002444,0.001452,0.016109
1990-01-31,-0.050323,0.026074,-0.018254,0.001894,-0.034779,-0.048744,-0.011947,-0.019757,-0.050822
1990-02-28,-0.031401,0.049889,-0.005329,0.01691,-0.042373,-0.031316,0.019557,0.004125,-0.032708
1990-03-31,-0.048658,-0.122445,0.002732,0.019591,-0.00832,-0.047333,0.004898,0.007016,-0.049929
1990-04-30,-0.018342,0.064529,-0.008143,0.002312,-0.032105,-0.016508,-0.012862,-0.010542,-0.017377
1990-05-31,0.092178,0.064623,0.019999,-0.00586,0.035094,0.093719,0.031549,0.018674,0.090224
1990-06-30,-0.014519,0.025909,0.009817,-0.00159,0.008461,-0.014301,-0.027087,0.009596,-0.015283
1990-07-31,-0.017067,0.058141,0.002965,-0.021109,0.036217,-0.01671,0.011447,-0.001721,-0.017388
1990-08-31,-0.104585,-0.13495,-0.019344,-0.004824,-0.008866,-0.102878,-0.044571,-0.021332,-0.104508
1990-09-30,-0.123213,-0.142384,-0.008557,-0.012823,0.029604,-0.120667,-0.033576,-0.010649,-0.123302
1990-10-31,0.052877,-0.054114,0.006148,-0.030775,0.047216,0.05386,-0.003281,-0.00716,0.049641
1990-11-30,-0.015749,-0.050352,0.01858,0.009065,0.041571,-0.012763,-0.05352,0.020786,-0.014712
1990-12-31,0.025245,0.048759,0.014733,0.011733,0.012415,0.028974,-0.000435,0.017658,0.028049
1991-01-31,0.016814,0.062436,0.005567,-0.013063,0.022631,0.018815,0.004881,0.002316,0.016931
1991-02-28,0.109659,0.17034,0.015012,0.020696,-0.013219,0.110436,0.036465,0.020099,0.111197
1991-03-31,0.015524,0.090496,0.007934,0.052258,-0.04748,0.018181,0.004174,0.023605,0.016948
1991-04-30,-0.001991,0.001188,0.00421,-0.005905,0.020515,-0.001215,0.017971,0.000645,-0.001638
1991-05-31,0.027996,0.086367,0.004757,0.010818,-0.001915,0.029236,0.008262,0.008929,0.029488
1991-06-30,-0.052485,-0.026075,-0.001445,0.014222,-0.022529,-0.051812,-0.024343,0.001069,-0.051661
1991-07-31,0.032069,0.034912,0.004865,-0.011165,0.028151,0.032129,0.01727,0.002413,0.029807
1991-08-31,-0.004957,0.017482,0.016708,0.001973,0.007547,-0.003614,-0.02599,0.01756,-0.00424
1991-09-30,0.00137,-0.061012,0.011701,-0.021374,0.032974,0.001826,-0.033818,0.005859,-0.000621
1991-10-31,0.004362,0.028013,-0.000901,-0.007472,-0.016648,0.006758,-0.067375,-0.000452,0.005081
1991-11-30,-0.059837,-0.034513,0.001007,-0.010854,0.022687,-0.056253,-0.059764,-0.00281,-0.057976
1991-12-31,0.038054,0.07668,0.017863,-0.028963,0.054277,0.039216,0.013116,0.009851,0.03849
1992-01-31,0.001295,0.138299,0.002274,0.023991,-0.026007,0.002438,0.014906,0.005222,0.005452
1992-02-29,-0.004744,0.058397,0.006261,0.015265,-0.014565,-0.003966,0.038507,0.012145,-0.002936
1992-03-31,-0.041844,0.037044,-0.006504,0.007949,-0.018709,-0.041306,-0.004827,-0.004004,-0.040603
1992-04-30,0.012227,-0.010499,0.003916,0.000215,-0.008966,0.012169,-0.006095,0.003362,0.010979
1992-05-31,0.014776,-0.025145,0.007152,-0.01913,0.061889,0.018355,-0.021022,0.005442,0.014505
1992-06-30,-0.055764,-0.119493,0.005354,-0.018713,0.022338,-0.052834,-0.048814,-0.000438,-0.057285
1992-07-31,-0.003983,0.003907,0.016466,-0.003357,-0.006218,-0.002041,0.003703,0.013872,-0.003096
1992-08-31,-0.005311,-0.073312,-0.001327,-0.024652,0.01757,-0.002096,-0.016565,-0.006596,-0.005225
1992-09-30,-0.015884,-0.004949,0.002859,-0.004544,0.043501,-0.014377,-0.023886,-0.003693,-0.016361
1992-10-31,0.004212,0.087709,0.00297,0.033881,-0.018282,0.004621,-0.007017,0.007845,0.00563
1992-11-30,0.029475,-0.000746,-0.0048,0.014433,-0.00845,0.030502,0.012825,0.001086,0.026317
1992-12-31,0.012895,0.036994,0.011204,0.007748,0.006769,0.015446,0.006615,0.016003,0.014199
1993-01-31,-0.004234,-0.00362,0.009561,-0.004802,0.032997,-0.002976,0.001052,0.009169,-0.004824
1993-02-28,0.012802,0.008079,0.011251,-0.006205,0.049046,0.017049,0.002268,0.006999,0.014587
1993-03-31,0.036394,0.011453,-0.006481,-0.018715,0.04062,0.037547,-0.009975,-0.010409,0.035497
1993-04-30,0.026932,0.003864,0.001521,-0.016462,0.002111,0.02959,-0.019236,-0.00495,0.026088
1993-05-31,0.009773,0.014712,-0.002588,-0.009475,0.025509,0.011431,-0.022026,-0.005232,0.010285
1993-06-30,0.012657,0.052347,0.018315,0.023214,-0.000639,0.014152,0.005211,0.025459,0.013124
1993-07-31,0.01847,0.024351,4e-06,-6.9e-05,0.017202,0.019765,0.01126,-0.002908,0.019251
1993-08-31,0.031883,0.067598,0.015226,-0.011494,0.054286,0.032667,0.011646,0.010877,0.032516
1993-09-30,-0.024675,0.030878,0.006666,-0.002896,0.001821,-0.022372,-0.025059,0.003458,-0.022749
1993-10-31,0.043181,0.106024,0.012264,0.017548,-0.005142,0.044597,0.015778,0.01579,0.046
1993-11-30,-0.049764,0.05326,-0.001369,0.009223,-0.006914,-0.048728,-0.024549,-0.002109,-0.045778
1993-12-31,0.060172,0.177018,0.017752,0.012199,0.018082,0.060434,0.045061,0.019049,0.065501
1994-01-31,0.054439,0.007747,-0.002999,-0.008102,0.012523,0.056741,0.011916,0.000976,0.055028
1994-02-28,-0.030879,-0.037886,-0.02489,-0.015201,-0.028751,-0.029342,-0.032953,-0.030083,-0.032443
1994-03-31,-0.05637,-0.104399,-0.015427,-0.011051,-0.040173,-0.054967,-0.019013,-0.026399,-0.058618
1994-04-30,0.02265,-0.028701,-0.007403,-0.004521,-0.014871,0.024601,0.01494,-0.009728,0.019677
1994-05-31,0.010513,0.040716,-0.002357,0.010438,-0.026137,0.011228,-0.000226,0.001328,0.013594
1994-06-30,-0.033149,-0.055493,-0.01569,-0.026111,0.008746,-0.027539,-0.019866,-0.023589,-0.033865
1994-07-31,0.023853,0.070387,0.012181,0.008069,0.0069,0.026987,0.012417,0.019134,0.026314
1994-08-31,0.025568,0.116985,-0.008802,-0.000877,-0.005288,0.034392,0.000599,-0.006296,0.028965
1994-09-30,-0.034669,0.000141,-0.003899,-0.006064,-0.009055,-0.02562,-0.01438,-0.01275,-0.032846
1994-10-31,0.01063,-0.036503,-0.002427,-0.01317,0.007297,-0.012929,0.013553,-0.008015,0.008567
1994-11-30,-0.025541,-0.032734,0.004343,0.023599,-0.014996,-0.03754,-0.00681,0.007644,-0.025085
1994-12-31,0.006987,-0.081997,0.000584,0.003157,-0.001119,0.005407,0.017061,0.002371,0.002485
1995-01-31,-0.019745,-0.112182,0.015022,-0.00047,-0.00434,-0.041594,-0.010327,0.015136,-0.02553
1995-02-28,-0.008653,-0.045752,0.00175,-0.018053,0.03309,-0.007544,-0.014728,0.001598,-0.014239
1995-03-31,-0.005169,-0.048459,0.00484,-0.046585,0.056665,-0.025484,-0.022426,-0.019474,-0.00843
1995-04-30,0.027444,0.03458,0.009953,-0.003611,0.035066,0.007644,-0.011369,0.006914,0.026844
1995-05-31,0.014037,0.060008,0.034283,0.011212,0.046134,0.021734,0.014208,0.037315,0.016656
1995-06-30,-0.008873,-0.004884,-0.002473,-0.002843,-0.005274,-0.00092,-0.009167,-0.001227,-0.008121
1995-07-31,0.063183,0.036131,0.014849,0.016917,-0.022994,0.0667,0.036818,0.015955,0.060924
1995-08-31,0.025168,0.023856,0.013076,0.054196,-0.031682,0.031559,0.01795,0.036238,0.026077
1995-09-30,0.01737,-0.015718,0.011813,-0.005531,-0.007523,-0.004361,0.024301,0.007485,0.016471
1995-10-31,-0.008561,-0.030754,0.014592,0.012474,0.010174,-0.018837,-0.014701,0.019173,-0.009817
1995-11-30,0.040398,-0.010442,0.017098,0.010649,0.018982,0.013617,0.019005,0.017387,0.037844
1995-12-31,0.029632,0.044819,0.010869,0.005121,0.020913,0.029972,0.00763,0.015016,0.02949
1996-01-31,0.039303,0.09594,0.008793,0.025739,-0.014825,0.046233,0.026889,0.017248,0.044497
1996-02-29,-0.003738,-0.026335,-0.015601,-0.005816,-0.026755,0.012248,0.001119,-0.018524,-0.00505
1996-03-31,0.021958,0.011058,0.003185,0.008993,-0.003379,0.023861,0.017625,0.001324,0.020501
1996-04-30,0.027362,0.047181,-0.000418,0.008035,-0.001592,0.054776,0.00873,-0.000999,0.029033
1996-05-31,0.007603,0.001445,0.007193,0.011685,-0.005051,0.002939,0.007336,0.008213,0.008428
1996-06-30,0.008894,0.00963,0.010146,0.006766,-0.000866,-0.007125,0.012602,0.013583,0.006837
1996-07-31,-0.053645,-0.087928,-0.001131,-0.015124,0.025906,-0.067509,-0.018505,-0.006923,-0.056874
1996-08-31,0.017502,0.03015,0.009938,0.010956,-0.0096,0.028601,0.020578,0.008333,0.018513
1996-09-30,0.05443,0.026836,0.018719,0.019489,0.0194,0.037809,0.032035,0.02604,0.052115
1996-10-31,0.007778,-0.023519,0.021037,0.007004,0.020953,-0.007312,0.00691,0.024388,0.006017
1996-11-30,0.058299,0.018406,0.016159,0.007685,0.032347,0.033801,0.024912,0.018104,0.057252
1996-12-31,-0.011398,0.009628,-0.003898,0.009027,-0.018423,-0.003447,-0.010627,-0.002801,-0.009726
1997-01-31,0.040846,0.09965,0.001721,0.033969,-0.082734,0.039716,0.041983,0.01251,0.047128
1997-02-28,0.017412,0.048886,-0.001339,0.010899,0.045668,0.022106,0.024865,0.001601,0.020383
1997-03-31,-0.014599,-0.022425,-0.003088,0.009206,-0.020311,-0.027365,-0.000675,-0.004349,-0.015287
1997-04-30,0.046213,0.015753,0.004754,0.019043,-0.007964,0.014354,0.01989,0.016544,0.046494
1997-05-31,0.028541,-0.004811,-0.0044,-0.026386,-0.020471,0.026341,-0.006131,-0.014009,0.025598
1997-06-30,0.047302,0.051912,0.011042,0.003524,0.037063,0.030946,0.002811,0.009336,0.050175
